name,state,party,constituency,attendance,debates,questions
Praveen Patel,Uttar Pradesh,Bharatiya Janata Party,Phulpur,0.957264957,28.0,254.0
Priya Saroj,Uttar Pradesh,Samajwadi Party,Machhlishahr,0.965811966,13.0,44.0
Pushpendra Saroj,Uttar Pradesh,Samajwadi Party,Kaushambi,0.948717949,21.0,89.0
R K Chaudhary,Uttar Pradesh,Samajwadi Party,Mohanlalganj,0.914529915,2.0,19.0
Rahul Gandhi,Uttar Pradesh,Indian National Congress,Rae Bareli,0.0,14.0,43.0
Ram Prasad Chaudhary,Uttar Pradesh,Samajwadi Party,Basti,0.957264957,7.0,7.0
Ram Shiromani Verma,Uttar Pradesh,Samajwadi Party,Shrawasti,1.0,31.0,69.0
Rambhual Nishad,Uttar Pradesh,Samajwadi Party,Sultanpur,0.863247863,2.0,21.0
Ramesh Awasthi,Uttar Pradesh,Bharatiya Janata Party,Kanpur,0.974358974,17.0,52.0
Ruchi Vira,Uttar Pradesh,Samajwadi Party,Moradabad,1.0,12.0,63.0
Sanatan Pandey,Uttar Pradesh,Samajwadi Party,Ballia,0.905982906,21.0,78.0
Satish Kumar Gautam,Uttar Pradesh,Bharatiya Janata Party,Aligarh,1.0,4.0,40.0
Shashank Mani,Uttar Pradesh,Bharatiya Janata Party,Deoria,0.94017094,15.0,84.0
Shiv Pal Singh Patel,Uttar Pradesh,Samajwadi Party,Pratapgarh,0.803418803,8.0,1.0
Tanuj Punia,Uttar Pradesh,Indian National Congress,Barabanki,0.991452991,8.0,116.0
Ujjwal Raman Singh,Uttar Pradesh,Indian National Congress,Allahabad,1.0,21.0,59.0
Utkarsh Verma Madhur,Uttar Pradesh,Samajwadi Party,Kheri,1.0,22.0,47.0
Vijay Kumar Dubey,Uttar Pradesh,Bharatiya Janata Party,Kushi Nagar,0.974358974,20.0,115.0
Zia Ur Rehman,Uttar Pradesh,Samajwadi Party,Sambhal,0.974358974,17.0,84.0
Ajay Bhatt,Uttarakhand,Bharatiya Janata Party,Nainital-Udhamsingh Nagar,0.948717949,17.0,47.0
Anil Baluni,Uttarakhand,Bharatiya Janata Party,Garhwal,0.948717949,3.0,13.0
Mala Rajya Laxmi Shah,Uttarakhand,Bharatiya Janata Party,Tehri Garhwal,0.854700855,4.0,81.0
Trivendra Singh Rawat,Uttarakhand,Bharatiya Janata Party,Haridwar,0.957264957,6.0,108.0
Abhishek Banerjee,West Bengal,All India Trinamool Congress,Diamond Harbour,0.316239316,3.0,52.0
Abu Taher Khan,West Bengal,All India Trinamool Congress,Murshidabad,0.88034188,5.0,50.0
Arup Chakraborty,West Bengal,All India Trinamool Congress,Bankura,0.504273504,2.0,15.0
Azad Kirti Jha,West Bengal,All India Trinamool Congress,Bardhaman-Durgapur,0.94017094,23.0,91.0
Bapi Haldar,West Bengal,All India Trinamool Congress,Mathurapur,0.829059829,6.0,41.0
Isha Khan Choudhury,West Bengal,Indian National Congress,Maldaha Dakshin,0.88034188,8.0,14.0
Jagadish Chandra Barma Basunia,West Bengal,All India Trinamool Congress,Coochbehar,0.538461538,6.0,22.0
