name,attendance,debates,questions
Gaurav Gogoi,85,29,117
Jai Parkash,97,5,43
Sarbananda Sonowal,0,0,0
Bibhu Prasad Tarai,93,14,141
Shobhanaben Mahendrasinh Baraiya,98,15,173
Amarsing Tisso,96,1,54
Haribhai Patel,97,13,99
Shrikant Eknath Shinde,78,27,203
Ajay Tamta,0,0,0
D M Kathir Anand,86,41,125
